user_id,book_id,rating,Book-Title,Book-Author,Year-Of-Publication,Publisher,user_ratings,book_ratings
277427,002542730X,10,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,John Wiley &amp; Sons Inc,146,77
277427,0060542128,7,When the Storm Breaks,Heather Lowell,2003,HarperTorch,146,14
277427,0061009059,9,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995,HarperTorch,146,134
277427,0152050167,10,The Whale Rider,Witi Ihimaera,2003,Harcourt Paperbacks,146,12
277427,0316776963,8,Me Talk Pretty One Day,David Sedaris,2001,Back Bay Books,146,159
277427,0345413903,10,The Murder Book,Jonathan Kellerman,2003,Ballantine Books,146,69
277427,0380702843,8,The Return of the Indian (Indian in the Cupboard),Lynne Reid Banks,1999,HarperTrophy,146,21
277427,0380791978,9,The Family Tree,Sheri S. Tepper,1998,Eos,146,19
277427,0385424736,9,The Rainmaker,John Grisham,1995,Doubleday Books,146,50
277427,0385486804,9,Into the Wild,Jon Krakauer,1997,Anchor,146,130
277427,0385503857,9,Oryx and Crake,Margaret Atwood,2003,Nan A. Talese,146,32
277427,0385504209,8,The Da Vinci Code,Dan Brown,2003,Doubleday,146,487
277427,039304016X,8,The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger,1997,Little Brown and Company,146,22
277427,0399501487,9,Lord of the Flies,William Gerald Golding,1959,Perigee Trade,146,108
277427,0425104338,9,Stephen King's Danse Macabre,Stephen King,1997,Berkley Publishing Group,146,16
277427,0425116840,8,The Cardinal of the Kremlin (Jack Ryan Novels),Tom Clancy,1989,Berkley Publishing Group,146,41
277427,0425133516,9,The Hunt for Red October (Jack Ryan Novels),Tom Clancy,1997,Berkley Publishing Group,146,24
277427,0425190749,7,Keepsake Crimes (First Scrapbooking Mystery),Laura Childs,2003,Berkley Publishing Group,146,10
277427,0440185327,5,Thurston House,Danielle Steel,1984,Dell,146,15
277427,0440224764,7,The Partner,John Grisham,1998,Dell Publishing Company,146,143
277427,0440236061,8,Unfit to Practice,Perri O'Shaughnessy,2003,Dell Publishing Company,146,26
277427,0440236738,9,Gone for Good,HARLAN COBEN,2003,Dell,146,34
277427,0440428130,8,Freckle Juice,JUDY BLUME,1978,Yearling,146,10
277427,0441627404,10,The Once and Future King,T. H. White,1987,Ace Books,146,29
277427,0446350982,9,Presumed Innocent,Scott Turow,1988,Warner Books,146,22
277427,0446600415,10,The Day After Tomorrow,Allan Folsom,1995,Warner Books,146,18
277427,0446608890,10,Saving Faith,David Baldacci,2000,Warner Vision,146,43
277427,0451191153,8,The Fountainhead,Ayn Rand,1996,New American Library,146,39
277427,0451203593,10,24 Hours,Greg Iles,2001,Signet Book,146,24
277427,0452284449,6,The Virgin Blue,Tracy Chevalier,2003,Plume Books,146,56
277427,0553280368,9,C Is for Corpse (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1987,Bantam,146,54
277427,0553571656,10,The Beekeeper's Apprentice,LAURIE R. KING,1996,Bantam,146,31
277427,0553573926,10,Vertical Run,Joseph R. Garber,1996,Bantam Books,146,18
277427,0553574566,9,A Monstrous Regiment of Women,LAURIE R. KING,1996,Bantam,146,17
277427,0553581929,9,Special Circumstances,SHELDON SIEGEL,2001,Bantam,146,12
277427,0671528904,8,Mindhunter : Inside the FBI's Elite Serial Crime Unit,John E. Douglas,1996,Pocket,146,20
277427,0671876821,8,Chicks in Chainmail,Esther Friesner,1995,Baen,146,11
277427,0679731148,9,A Year in Provence,Peter Mayle,1991,Vintage Books USA,146,67
277427,0679736042,5,Toujours Provence (Vintage Departures),Peter Mayle,1992,Vintage Books USA,146,21
277427,0740723367,9,The Meaning Of Life,Bradley Trevor Greive,2002,Andrews McMeel Publishing,146,27
277427,0743406176,8,If Only It Were True,Marc Levy,2000,Atria,146,26
277427,0743412028,9,Pay It Forward,Catherine Ryan Hyde,2000,Pocket,146,59
277427,0743444477,9,Letters for Emily,Camron Wright,2003,Pocket,146,11
277427,0743457943,8,Trading Places,Fern Michaels,2003,Pocket Star,146,20
277427,0767903382,10,Tender at the Bone: Growing Up at the Table,Ruth Reichl,1999,Broadway Books,146,32
277427,0786866845,10,Ice Bound: A Doctor's Incredible Battle for Survival at the South Pole,Dr. Jerri Nielsen,2001,Miramax,146,29
277427,0811802981,10,The Golden Mean: In Which the Extraordinary Correspondence of Griffin &amp; Sabine Concludes,Nick Bantock,1993,Chronicle Books,146,24
277427,0811811409,10,"The Venetian's Wife: A Strangely Sensual Tale of a Renaissance Explorer, a Computer, and a Metamorphosis",Nick Bantock,1996,Chronicle Books,146,20
277427,0836210263,10,Still Pumped From Using The Mouse,Scott Adams,1996,Andrews McMeel Publishing,146,18
277427,0836217691,10,Homicidal Psycho Jungle Cat: A Calvin and Hobbes Collection,Bill Watterson,1994,Andrews McMeel Publishing,146,20
277427,0836218515,10,Prehistory of the Far Side,Gary Larson,1989,Andrews McMeel Publishing,146,23
277427,0836218817,10,Unnatural Selections,Gary Larson,1991,Andrews McMeel Publishing,146,18
277427,0836221192,10,Dilbert Fugitive From The Cubicle Police,Scott Adams,1996,Andrews McMeel Publishing,146,20
277427,0836221311,8,Last Chapter and Worse,Gary Larson,1996,Andrews McMeel Publishing,146,15
277427,0836236688,10,Dilbert: Seven Years Of Highly Defective People (P,Scott Adams,1997,Andrews McMeel Publishing,146,15
277427,0843947888,7,Among the Missing,Richard Laymon,2000,Leisure Books,146,10
277427,0890876517,10,Creative Companion: How to Free Your Creative Spirit,Sark,1991,Celestial Arts,146,14
277427,0898157803,10,Menopaws: The Silent Meow,Martha Sacks,1995,Ten Speed Press,146,12
278137,0060002492,7,Amazonia,James Rollins,2003,Avon Books,53,12
278137,0061057894,9,Acorna: The Unicorn Girl (Acorna (Paperback)),Anne McCaffrey,1998,Eos,53,18
278137,0345337662,7,Interview with the Vampire,Anne Rice,1993,Ballantine Books,53,230
278137,0380600129,8,The Indian in the Cupboard,Lynne Reid Banks,1999,HarperTrophy,53,28
278137,0440940001,8,Island of the Blue Dolphins (Laurel Leaf Books),Scott O'Dell,1978,Laure Leaf,53,42
278137,0446606812,7,Message in a Bottle,Nicholas Sparks,1999,Warner Vision,53,131
278137,0515094978,8,The Cat Who Had 14 Tales,Lilian Jackson Braun,1991,Jove Books,53,18
278137,0553287532,9,Wish You Were Here (Mrs. Murphy Mysteries (Paperback)),RITA MAE BROWN,1991,Bantam,53,16
278137,0670894508,4,Cause Celeb,Helen Fielding,2001,Viking Books,53,11
278137,0671434225,8,CONTACT,Carl Sagan,1986,Pocket,53,15
278137,0671525808,9,So Long and Thanks for all the Fish,Douglas Adams,1985,Pocket,53,15
278137,0804106304,8,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12),53,194
278137,1558744150,9,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996,Health Communications,53,66
278137,1558745017,8,Chicken Soup for the Christian Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1997,Health Communications,53,23
278188,0156005891,8,Eden Close,Anita Shreve,1998,Harvest Books,52,33
278188,0373218192,7,Engaging The Enemy,Nora Roberts,2003,Silhouette,52,45
278188,0373244487,6,Cordina's Crown Jewel,Nora Roberts,2002,Silhouette,52,26
