date,Actual_Sales,Train_Forecast,Test_Forecast,Train_Residuals,Test_Residuals
2004-01-31,36402.0,36557.087253925645,,-155.0872539256452,
2004-02-29,35890.0,36712.34772058953,,-822.3477205895324,
2004-03-31,36365.0,36826.59801124006,,-461.59801124005753,
2004-04-30,36312.0,36994.007445055555,,-682.0074450555549,
2004-05-31,36528.0,37211.88113336299,,-683.8811333629928,
2004-06-30,36508.0,37306.99879212565,,-798.998792125647,
2004-07-31,36526.0,37496.71643847519,,-970.7164384751886,
2004-08-31,36680.0,37617.5682998756,,-937.568299875602,
2004-09-30,36951.0,37799.26862255067,,-848.2686225506695,
2004-10-31,37078.0,37966.63511483273,,-888.6351148327303,
2004-11-30,37286.0,38119.24010930484,,-833.2401093048393,
2004-12-31,37423.0,38265.59715774116,,-842.5971577411619,
2005-01-31,37628.0,38427.44382948893,,-799.4438294889333,
2005-02-28,37553.0,38577.154035733365,,-1024.1540357333652,
2005-03-31,37645.0,38722.47635275283,,-1077.4763527528266,
2005-04-30,38049.0,38864.09882776227,,-815.0988277622673,
2005-05-31,37908.0,39062.99436367027,,-1154.9943636702665,
2005-06-30,38143.0,39196.9829981063,,-1053.9829981063012,
2005-07-31,37960.0,39329.13170386665,,-1369.131703866653,
2005-08-31,38320.0,39504.154001939525,,-1184.1540019395252,
2005-09-30,38577.0,39645.845118667225,,-1068.8451186672246,
2005-10-31,38559.0,39855.20727785152,,-1296.2072778515212,
2005-11-30,38508.0,39960.3150653444,,-1452.3150653444027,
2005-12-31,38847.0,40103.75072713131,,-1256.750727131308,
2006-01-31,38254.0,40286.88530817545,,-2032.8853081754496,
2006-02-28,38889.0,40409.579888749395,,-1520.5798887493947,
2006-03-31,38866.0,40564.4751189554,,-1698.4751189554008,
2006-04-30,38891.0,40802.70399949369,,-1911.7039994936931,
2006-05-31,39242.0,40861.620210514,,-1619.6202105139964,
2006-06-30,39372.0,41080.01146388144,,-1708.0114638814412,
2006-07-31,39411.0,41230.13129302414,,-1819.1312930241402,
2006-08-31,39705.0,41357.80057357452,,-1652.8005735745173,
2006-09-30,39356.0,41531.13900910459,,-2175.1390091045905,
2006-10-31,40002.0,41662.72882598828,,-1660.728825988277,
2006-11-30,39989.0,41827.883860164344,,-1838.8838601643438,
2006-12-31,40153.0,42037.54829651618,,-1884.548296516179,
2007-01-31,40253.0,42115.509008468034,,-1862.5090084680342,
2007-02-28,40646.0,42313.6473591284,,-1667.6473591284011,
2007-03-31,40572.0,42465.81684565249,,-1893.8168456524872,
2007-04-30,40416.0,42620.42550692588,,-2204.4255069258797,
2007-05-31,40740.0,42722.244936537296,,-1982.2449365372959,
2007-06-30,40870.0,42922.28831778672,,-2052.288317786719,
2007-07-31,41044.0,43097.45833020111,,-2053.4583302011088,
2007-08-31,40954.0,43227.66313447833,,-2273.663134478331,
2007-09-30,41095.0,43378.94898578126,,-2283.9489857812587,
2007-10-31,41379.0,43524.39802849731,,-2145.3980284973077,
2007-11-30,41868.0,43717.08490313279,,-1849.084903132789,
2007-12-31,41998.0,43886.19750047006,,-1888.197500470058,
2008-01-31,42159.0,44031.83477549104,,-1872.8347754910428,
2008-02-29,42016.0,44154.7155819231,,-2138.7155819230975,
2008-03-31,42168.0,44304.76255554296,,-2136.762555542962,
2008-04-30,42584.0,44451.02369613149,,-1867.0236961314877,
2008-05-31,42549.0,44658.16606922814,,-2109.1660692281366,
2008-06-30,42683.0,44790.20829742539,,-2107.2082974253935,
2008-07-31,42899.0,44918.593873890495,,-2019.5938738904952,
2008-08-31,43063.0,45107.04969362613,,-2044.0496936261334,
2008-09-30,42834.0,45254.57358724278,,-2420.573587242783,
2008-10-31,42768.0,45380.74519507374,,-2612.7451950737377,
2008-11-30,42496.0,45518.1938421041,,-3022.1938421040977,
2008-12-31,42136.0,45684.65054448151,,-3548.650544481512,
2009-01-31,42771.0,45810.42084804727,,-3039.4208480472735,
2009-02-28,42101.0,46036.44664139215,,-3935.4466413921473,
2009-03-31,42069.0,46180.52034736541,,-4111.520347365411,
2009-04-30,42288.0,46249.21290998501,,-3961.2129099850135,
2009-05-31,42300.0,46521.6538967928,,-4221.653896792799,
2009-06-30,42530.0,46645.47748006899,,-4115.477480068992,
2009-07-31,42480.0,46805.68408361721,,-4325.684083617212,
2009-08-31,42401.0,46962.806087437224,,-4561.806087437224,
2009-09-30,42691.0,47086.838196970304,,-4395.838196970304,
2009-10-31,42763.0,47276.374461114945,,-4513.374461114945,
2009-11-30,42808.0,47442.32432492563,,-4634.324324925627,
2009-12-31,43192.0,47569.034985763945,,-4377.034985763945,
2010-01-31,43028.0,47755.05201633331,,-4727.052016333313,
2010-02-28,43735.0,47896.59896929549,,-4161.59896929549,
2010-03-31,43304.0,48058.73208531286,,-4754.732085312862,
2010-04-30,43186.0,48224.14708458791,,-5038.1470845879085,
2010-05-31,43224.0,48279.484134527236,,-5055.484134527236,
2010-06-30,42920.0,48516.73122250715,,-5596.731222507151,
2010-07-31,43052.0,48635.67952911777,,-5583.67952911777,
2010-08-31,43258.0,48799.83273673595,,-5541.8327367359525,
2010-09-30,43646.0,49002.68580137926,,-5356.685801379259,
2010-10-31,43493.0,49159.660540307945,,-5666.660540307945,
2010-11-30,44121.0,49295.85502968215,,-5174.855029682149,
2010-12-31,44184.0,49454.65649400873,,-5270.656494008726,
2011-01-31,44639.0,49650.43925587394,,-5011.439255873942,
2011-02-28,44961.0,49757.36205559716,,-4796.362055597157,
2011-03-31,45068.0,49961.128579571625,,-4893.128579571625,
2011-04-30,45769.0,50068.756903450165,,-4299.756903450165,
2011-05-31,45365.0,50258.6199084187,,-4893.619908418703,
2011-06-30,45791.0,50386.69419542025,,-4595.694195420248,
2011-07-31,45797.0,50493.67531479928,,-4696.675314799279,
2011-08-31,46034.0,50724.75426303988,,-4690.754263039882,
2011-09-30,45887.0,50823.4935276867,,-4936.493527686704,
2011-10-31,46001.0,50997.864877297834,,-4996.864877297834,
2011-11-30,46138.0,51124.391443986955,,-4986.391443986955,
2011-12-31,46078.0,51319.44769591198,,-5241.447695911978,
2012-01-31,46248.0,51449.094650877145,,-5201.094650877145,
2012-02-29,46353.0,51609.420622544305,,-5256.420622544305,
2012-03-31,46800.0,51782.44464093732,,-4982.4446409373195,
2012-04-30,46879.0,51947.076931576084,,-5068.0769315760845,
2012-05-31,46873.0,52108.50506700813,,-5235.505067008133,
2012-06-30,46889.0,52217.14176820293,,-5328.141768202928,
2012-07-31,46910.0,52382.93415922578,,-5472.934159225777,
2012-08-31,47059.0,52537.526584992345,,-5478.526584992345,
2012-09-30,47131.0,52702.64919000327,,-5571.649190003271,
2012-10-31,47402.0,52862.438313610255,,-5460.438313610255,
2012-11-30,47310.0,53021.39182409043,,-5711.391824090431,
2012-12-31,47142.0,53171.19945615551,,-6029.199456155511,
2013-01-31,47236.0,53286.298733273026,,-6050.298733273026,
2013-02-28,47729.0,53467.58989026645,,-5738.5898902664485,
2013-03-31,47625.0,53667.563462412756,,-6042.563462412756,
2013-04-30,47307.0,53806.3514112792,,-6499.351411279204,
2013-05-31,47799.0,53891.699909606155,,-6092.699909606155,
2013-06-30,47745.0,54106.8624970916,,-6361.862497091599,
2013-07-31,48053.0,54286.83565258495,,-6233.835652584952,
2013-08-31,48182.0,54400.3385054733,,-6218.338505473301,
2013-09-30,48291.0,54596.29860402401,,-6305.298604024007,
2013-10-31,48444.0,54716.104068251865,,-6272.104068251865,
2013-11-30,48492.0,54885.39583143967,,-6393.395831439673,
2013-12-31,48938.0,55032.87085386079,,-6094.87085386079,
2014-01-31,49128.0,55206.841279215994,,-6078.841279215994,
2014-02-28,49211.0,55378.182557731096,,-6167.182557731096,
2014-03-31,49195.0,55492.84416899373,,-6297.844168993732,
2014-04-30,49591.0,55645.48375890197,,-6054.4837589019735,
2014-05-31,49770.0,55819.48146136958,,-6049.481461369578,
2014-06-30,50096.0,55995.186841236384,,-5899.186841236384,
2014-07-31,50369.0,56129.33259501796,,-5760.332595017957,
2014-08-31,50507.0,56303.18954085797,,-5796.189540857973,
2014-09-30,50727.0,56436.007343051286,,-5709.007343051286,
2014-10-31,50941.0,56590.67079963721,,-5649.670799637213,
2014-11-30,50964.0,56753.79456654009,,-5789.794566540091,
2014-12-31,51141.0,56892.18772886493,,-5751.187728864927,
