date,Actual_Sales_,Train_Forecast_ridge,Test_Forecast_ridge,Train_Forecast_ols,Test_Forecast_ols,Train_Forecast_arima,Test_Forecast_arima
2004-01-31,36402.0,35889.70684267204,,35886.13161712325,,36402.0,
2004-02-29,35890.0,36469.927213469724,,36471.39132567706,,36540.15712449911,
2004-03-31,36365.0,35981.15817100613,,35979.628973449944,,36353.10128344065,
2004-04-30,36312.0,36449.17019309079,,36452.258904811155,,36412.234591156135,
2004-05-31,36528.0,36407.89054457364,,36409.71975925729,,36489.99113877878,
2004-06-30,36508.0,36618.8970311852,,36624.962037245845,,36498.315520585376,
2004-07-31,36526.0,36604.05873917851,,36611.392114474744,,36550.63060730708,
2004-08-31,36680.0,36627.81005689227,,36635.9707717627,,36569.18178064281,
2004-09-30,36951.0,36778.27369023491,,36789.61211809267,,36639.031743407686,
2004-10-31,37078.0,37041.87070846364,,37055.981210105805,,36733.1760209694,
2004-11-30,37286.0,37158.550393065576,,37176.54652731579,,36808.16361831061,
2004-12-31,37423.0,37435.665058688755,,37437.23680604542,,36886.58012667164,
2005-01-31,37628.0,37489.98872438397,,37515.65142509386,,36983.1968932282,
2005-02-28,37553.0,37689.518405068484,,37719.465958222616,,37082.625861091656,
2005-03-31,37645.0,37624.07648531855,,37655.29491329104,,37163.94098400599,
2005-04-30,38049.0,37719.88562852213,,37752.504473310124,,37246.68376224305,
2005-05-31,37908.0,38120.96788377469,,38157.84169837153,,37396.86952411446,
2005-06-30,38143.0,37988.38422737118,,38027.22535991309,,37483.58651800266,
2005-07-31,37960.0,38218.68391969446,,38261.51919028598,,37562.092268453925,
2005-08-31,38320.0,38044.45655253279,,38087.96174434868,,37668.19212381751,
2005-09-30,38577.0,38386.65813569514,,38436.94218927172,,37770.94125519268,
2005-10-31,38559.0,38647.71656664193,,38698.25777509408,,37923.42749875538,
2005-11-30,38508.0,38643.265102565936,,38691.132546243534,,37992.631715609765,
2005-12-31,38847.0,38600.1640244941,,38646.44272629732,,38067.22710667611,
2006-01-31,38254.0,38950.45268783519,,38994.149166182775,,38203.63690761468,
2006-02-28,38889.0,38384.17974647072,,38422.36983633171,,38267.549474992695,
2006-03-31,38866.0,39008.7331454508,,39051.141234125025,,38370.28009265993,
2006-04-30,38891.0,38985.89702467762,,39029.94647588169,,38541.19916565808,
2006-05-31,39242.0,39008.81328959387,,39054.50159043628,,38569.07308163139,
2006-06-30,39372.0,39352.25289206259,,39399.60964289449,,38700.1428256915,
2006-07-31,39411.0,39477.520213613825,,39525.88882698667,,38814.53166719655,
2006-08-31,39705.0,39513.54974937372,,39561.99379515108,,38885.048429052054,
2006-09-30,39356.0,39810.3757156355,,39857.03208637018,,39001.072568559764,
2006-10-31,40002.0,39481.35781517898,,39522.41230225917,,39080.77641216685,
2006-11-30,39989.0,40117.15610833163,,40160.025984503256,,39198.40571929985,
2006-12-31,40153.0,40114.845310640456,,40154.42694976086,,39352.37361526652,
2007-01-31,40253.0,40273.60792421894,,40312.74786958589,,39402.23705461932,
2007-02-28,40646.0,40377.790124707586,,40414.25209564633,,39526.07272768419,
2007-03-31,40572.0,40766.33392893216,,40802.649743656555,,39651.82113236012,
2007-04-30,40416.0,40697.71471112972,,40732.2867313756,,39756.29854310914,
2007-05-31,40740.0,40547.55109074146,,40579.676623286054,,39816.58743140747,
2007-06-30,40870.0,40860.802139298044,,40894.48051914589,,39960.967064916025,
2007-07-31,41044.0,40989.33539535425,,41022.22152464428,,40104.05173078136,
2007-08-31,40954.0,41158.99490162025,,41191.31382989643,,40195.40433798896,
2007-09-30,41095.0,41074.96666638174,,41103.47793770359,,40291.50852765972,
2007-10-31,41379.0,41210.06182453152,,41237.15396813252,,40395.24068071723,
2007-11-30,41868.0,41483.71786334679,,41509.149267376764,,40540.37761521593,
2007-12-31,41998.0,41967.44669810105,,41990.998960480196,,40677.577178626634,
2008-01-31,42159.0,42096.51113625778,,42115.81997038053,,40780.969609318316,
2008-02-29,42016.0,42253.53670682259,,42270.480458076505,,40864.77639551244,
2008-03-31,42168.0,42115.41569746564,,42129.06211141257,,40969.64814690183,
2008-04-30,42584.0,42254.65102964829,,42268.928547619886,,41086.68526337288,
2008-05-31,42549.0,42766.787615693334,,42754.484115448446,,41257.93862350186,
2008-06-30,42683.0,42674.5785918973,,42675.66806066649,,41368.30719657306,
2008-07-31,42899.0,42770.33938107013,,42778.47979023105,,41457.983733102694,
2008-08-31,43063.0,42967.503385897886,,42977.42288096309,,41606.08984023406,
2008-09-30,42834.0,43131.7199122773,,43137.09630045206,,41732.52992552036,
2008-10-31,42768.0,42925.95306661643,,42920.70196483236,,41822.56611799869,
2008-11-30,42496.0,42880.9319352063,,42865.44801910648,,41923.30795956278,
2008-12-31,42136.0,42606.371951591536,,42586.708796123174,,42050.03100169816,
2009-01-31,42771.0,42270.0316693233,,42239.671098687875,,42142.518561063494,
2009-02-28,42101.0,42864.56691776154,,42842.525682532476,,42318.207934056416,
2009-03-31,42069.0,42214.351045930394,,42186.428613787444,,42420.37974675532,
2009-04-30,42288.0,42197.40830063779,,42166.90458010811,,42437.97411217593,
2009-05-31,42300.0,42442.8383497913,,42407.57205512935,,42620.33797632926,
2009-06-30,42530.0,42413.26004162417,,42391.462855256934,,42714.985285878465,
2009-07-31,42480.0,42626.65363037329,,42611.11058418504,,42794.62779249375,
2009-08-31,42401.0,42573.7735647371,,42559.07053239054,,42881.469831962066,
2009-09-30,42691.0,42503.572740498596,,42485.324563868184,,42938.77512054701,
2009-10-31,42763.0,42778.20090062595,,42762.157792986414,,43050.86619452802,
2009-11-30,42808.0,42853.739614629616,,42835.80775118993,,43154.25895128853,
2009-12-31,43192.0,42907.506964515254,,42885.02968484601,,43213.21227206315,
2010-01-31,43028.0,43281.15780125939,,43258.11792488846,,43320.488961391726,
2010-02-28,43735.0,43123.01109606099,,43095.5879329086,,43398.363559655845,
2010-03-31,43304.0,43818.05688780033,,43793.68626210549,,43493.436317728614,
2010-04-30,43186.0,43419.22706015417,,43389.23851857298,,43584.518929235004,
2010-05-31,43224.0,43321.73091012579,,43288.87557905349,,43588.28913597954,
2010-06-30,42920.0,43359.37992275867,,43327.75251863377,,43730.07001561013,
2010-07-31,43052.0,43066.09906100333,,43031.62085387089,,43809.53881717378,
2010-08-31,43258.0,43200.94643005604,,43163.98827112962,,43893.34796744389,
2010-09-30,43646.0,43400.52447184742,,43361.89115522803,,44021.44729157472,
2010-10-31,43493.0,43777.532824978254,,43739.113905384045,,44113.42227222722,
2010-11-30,44121.0,43631.24362113171,,43588.805967729524,,44165.907104406666,
2010-12-31,44184.0,44254.49229935826,,44210.96141657427,,44247.87158049801,
2011-01-31,44639.0,44326.35744763091,,44276.8978459701,,44363.359535688134,
